id,name,data,length,alias,language,imdb,star,cnumber,region
30361198,失恋自救 Soltera Codiciada,['2018-05-31(秘鲁)'],['104'],['单身万人迷'],['西班牙语'],['https://www.imdb.com/title/tt8435268'],['5.7'],['177'],['秘鲁']
30149860,约翰·奥利弗上周今夜秀 第五季 Last Week Tonight with John Oliver Season 5,['2018-02-18(美国)'],[],[],['英语'],['https://www.imdb.com/title/tt7628928'],['9.4'],['207'],['美国']
26782074,兔子共和国 Watership Down,['2018-12-22(英国)'],[],['沃特希普高地 / 沃特希普荒原 / 瓦特希普高原（台）'],['英语'],['https://www.imdb.com/title/tt5670764'],['8.4'],['3418'],['爱尔兰 / 英国 / 美国']
30359361,老伴儿 Dos Viejos,['2018-10-21(中国大陆 isfvf展映)'],['10'],['An Old Couple'],['西班牙语'],[],[''],[],['阿根廷']
30263943,日本之耻 Japan's Secret Shame,['2018-06-28(英国)'],['59'],[],['英语 / 日语'],['https://www.imdb.com/title/tt9466960'],['9.1'],['12951'],['英国']
30252546,EXO的爬着梯子世界旅行－CBX日本篇 EXO의 사다리 타고 세계여행,['2018-05-21(韩国)'],[],['EXO的爬着梯子世界旅行 第一季'],['韩语'],[],['9.5'],['1032'],['韩国']
30177030,你是我的魂斗罗,['2018-03-10(中国大陆)'],['76'],[],['汉语普通话'],[],[''],[],['中国大陆']
27186360,妖怪旅馆营业中 かくりよの宿飯,['2018-04-02(日本)'],[],['Kakuriyo no Yadomeshi'],['日语'],['https://www.imdb.com/title/tt8228732'],['6.6'],['1327'],['日本']
30231963,SHINee's BACK,['2018-06-06(韩国)'],[],[],['韩语'],[],['9.3'],['96'],['韩国']
30365473,爱的地心引力 Gravity Of Love,['2018-11-29(泰国)'],[],['รักแท้แพ้แรงดึงดูด(泰) / 真愛團團轉(台)'],['泰语'],[],[''],[],['泰国']
30317783,圆形图 Kaamyaab,['2018(印度)'],['111'],['Round Figure'],['印地语'],['https://www.imdb.com/title/tt7881550'],[''],[],['印度']
23774869,绿毛怪格林奇 The Grinch,"['2018-12-14(中国大陆)', '2018-11-09(美国)']",['86'],['圣诞怪怪杰(港) / 鬼灵精(台) / 圣诞怪杰 / 苏斯博士的圣诞怪杰 / Dr. Suess‘ How the Grinch Stole Christmas / Dr. Seuss’ The Grinch'],['英语'],['https://www.imdb.com/title/tt2709692'],['6.3'],['9042'],['法国 / 中国大陆 / 日本 / 美国']
30377077,纨绔子弟 第三季 Мажор 3 сезон,['2018-10-29(俄罗斯)'],[],[],['俄语'],['https://www.imdb.com/title/tt9264822'],['8.3'],['148'],['俄罗斯']
30190640,狄大人驾到,['2018-05-08(中国大陆)'],['81'],['Ancient Detective'],['汉语普通话'],[],[''],[],['中国大陆']
30373577,军武大本营 第三季,['2018-05-16(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
33425984,暴力治愈 Violentia,['2018-04-28(美国)'],['85'],['Pinocchio Project'],['英语'],['https://www.imdb.com/title/tt3446330'],['4.5'],['234'],['美国']
30396289,无声的“侵略” ～中国移民冲击下的澳大利亚～ 静かなる侵略～中国新移民に揺れるオーストラリア～,['2018-12-02(日本)'],['49'],[],['日语 / 英语'],[],['6.4'],['90'],['日本']
30283690,Helicopter Eela,['2018-10-12(印度/美国)'],['140'],[],['印地语'],['https://www.imdb.com/title/tt8427036'],[''],[],['印度']
30258094,教堂姐姐 교회누나,['2018-06-21(韩国)'],['110'],['Church Sister'],['韩语'],[],['4.6'],['124'],['韩国']
26548048,麦兵兵之夺宝联“萌”,['2018-01-27(中国大陆)'],['87'],['麦兵兵 / Piggy Bingbing'],['汉语普通话'],[],[''],[],['中国大陆']
30299810,未解决案件 File.07 警察厅长官狙击案 未解決事件 File.07 警察庁長官狙撃事件,['2018-09-02(日本)'],[],['未解決事件 File.07 警察庁长官狙击案'],['日语'],[],[''],[],['日本']
30317797,诗意中国,['2018-09-14(中国大陆)'],[],[],['汉语普通话'],[],['7.3'],['1051'],['中国大陆']
27061510,娼年,['2018-04-06(日本)'],['119'],['Call Boy'],['日语'],['https://www.imdb.com/title/tt7529650'],['5.8'],['11272'],['日本']
30327654,神姬,[],['20'],['Goddess'],['汉语普通话'],[],[''],[],['中国台湾']
26761310,玛雅 Maya,"['2018-09-10(多伦多电影节)', '2018-12-19(法国)']",['107'],[],['法语 / 英语'],['https://www.imdb.com/title/tt6297258'],[''],[],['法国 / 德国']
30220649,比尔·默里故事：从神话人物身上学到的人生教训 The Bill Murray Stories: Life Lessons Learned from Mythical Man,['2018-03-10(美国)'],['70'],[],['英语'],['https://www.imdb.com/title/tt7329810'],[''],[],['美国']
