ID,name,type
2899a5b6-3684-4585-b6ce-21a250c0d4db,李妸仁,2
1389096,李承利,2
92377311-bafb-453d-8088-dae02b10d38d,金明俊,2
806848d1-9bc5-45a0-810d-809c53f59aab,朴真祐,2
1348191,车银优,2
17feeac0-df4a-4b99-bfc2-b0b8ae89b7b8,文彬,2
2c695cc4-3cd6-4b03-be37-0c98621c96dc,朴敏赫,2
9c0ec9a8-1283-4611-8f5c-2f4c72477519,尹产贺,2
1386999,金宇珍,2
1386998,方灿,2
1387000,李旻浩,2
1387001,徐彰彬,2
1387002,黄铉辰,2
1387004,韩知城,2
1387003,李费利克斯,2
1387048,金昇玟,2
1387005,梁精寅,2
1408586,吴承姬,2
1391796,崔有真,2
1408580,张丞延,2
1408581,张睿恩,2
1341856,庄锭欣,2
1402893,权恩彬 ,2
1388984,林娜荣,2
88aff368-928a-4d24-a897-4ed677998a66,金珉炅,2
1395266,郑恩宇,2
4b0c219b-10f6-430d-b97c-1032c3793280,姜艺彬,2
3410a4c7-d74a-4ee8-8472-47d720da74a8,金誉媛,2
e241d1fc-84ff-4716-94b5-bdbcb124eabd,尹彩暻,2
f7fa4533-8ead-4454-8c3a-acef4d34d80f,金采媛,2
1404199,李娜恩,2
1a4a5cc4-8cc4-42b3-8e0e-d0d6a7892ce0,梁睿娜,2
52bc6b0f-e291-48fa-8ef4-8e0150b93386,成娜妍,2
ea9f1b69-1640-49df-8c1e-5da34c42e8b5,李真率,2
1417431,金炫廷,2
28530ef3-6c91-4718-ab66-089f08faa2d1,秋昭贞,2
bc9bb883-1b5a-43d9-af9c-a9183334363d,朴秀斌,2
1399089,李露朵,2
f1f6ccbb-d4b9-4990-983c-36744b98ebe8,南多愿,2
0669a55b-774e-4dab-b0ba-d2c31dfc6236,孙周延,2
0f0366ae-361d-4d21-9a41-b6825ee9775b,恩熙,2
b00d2f7e-bac0-4863-a85e-ae215742af15,李真淑,2
03e3ad7f-8723-4ff8-8627-885f75736416,任多荣,2
1385204,俞琏静,2
525e8878-2a25-45cd-8d13-d2a7e953fe21,郑美美,2
07701844-6d62-4c3e-a366-9fb72d13d55e,辛宝罗,2
1ff531fe-13fb-4e04-bcae-85ec67fa7b0b,韩海彬,2
1402200,金娜英,2
1376474,金世正,2
1388635,刘些宁,2
9ad38239-7184-491c-bcb9-59fb18fdeee6,张昭真,2
1378719,姜美娜,2
23c3fec0-90a2-4bff-90d2-918698442874,赵慧妍,2
5d3cba77-54d5-428b-bf49-7f9458dc466b,李大烈,2
0d78faa2-f191-43e6-a99a-6961b89716a1,崔诚允,2
2b6bb437-bafc-4e2b-9dea-b085a30d67d9,李长埈,2
b0b11b3a-f920-47f8-9976-0a51b7e457bd,裴胜民,2
03407d0e-8870-47cf-b01d-17028dd51fb4,奉宰铉,2
da5fe4c3-eb04-47fe-9b83-0b9da8c8928e,金知范,2
4a502278-6caa-403b-acc2-90a15d6cf411,金东炫,2
f6cf035b-3b9f-4bf2-9c09-712409667402,洪周灿,2
1414504,崔普闵,2
81be69de-2a75-4c03-a260-25563ed1fdd5,朴知元,2
db97f160-8173-47eb-89d8-34be485801ce,金成焕,2
df5f537c-5e76-4b25-ad61-67c9d3957492,金成灿,2
4ebc9709-8071-43a0-9fc9-2b8a9b55854e,黄宜廷,2
cd712aae-1b94-4df9-8762-ce3e28e076a5,金然学,2
bf0ff4fa-625c-4ac8-8473-469938493056,金建雄,2
d47f8a8d-ac46-4b67-afb0-c033282b99f7,本田太一,2
8d8438f4-67b7-474b-a287-953f7f1448f6,HEY GIRLS,2
347e998d-b8b1-462e-8b3c-449736d66625,奉窦里,2
7cfb637d-c3b7-4254-aebc-03ae59ee1ff4,金素娜,2
ae55a185-1e9b-4bf9-bd37-7eebd0976ce9,朴珍,2
a049daaf-de8b-4f8a-ad2d-aa669866adf2,李车丽思,2
e9c22cd2-7fe0-4e09-aa6f-b8b0508309ac,安彩熙,2
927f7fd5-97d4-48e7-a231-652a3cd9dee9,池秀娟,2
cd7cdf5b-aa2d-4013-b3d2-69873c0ac72a,郑海琳,2
1385482,磪有情,2
1385483,金度延,2
a680212d-73d7-4262-9153-3ba68c6b30cc,李书静,2
fb60b792-7cd8-48fc-895b-9e20e00c4a1f,金秀经,2
1b0ff16f-aa18-4e7b-9fb8-a7f1bf4c8f18,姜昭恩,2
747e1afa-9597-4383-97f0-f4230ce5ac4d,鲁孝静,2
05b3afcd-e349-4a78-bdef-f5035e45971f,金辰昱,2
